X,Y,SCALERANK,NATSCALE,LABELRANK,FEATURECLA,NAME,NAMEPAR,NAMEALT,NAMEASCII,ADM0CAP,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,MEGANAME,LS_NAME,MAX_POP10,MAX_POP20,MAX_POP50,MAX_POP300,MAX_POP310,MAX_NATSCA,MIN_AREAKM,MAX_AREAKM,MIN_AREAMI,MAX_AREAMI,MIN_PERKM,MAX_PERKM,MIN_PERMI,MAX_PERMI,MIN_BBXMIN,MAX_BBXMIN,MIN_BBXMAX,MAX_BBXMAX,MIN_BBYMIN,MAX_BBYMIN,MIN_BBYMAX,MAX_BBYMAX,MEAN_BBXC,MEAN_BBYC,TIMEZONE,UN_FID,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2050,MIN_ZOOM,WIKIDATAID,WOF_ID,CAPALT,NAME_EN,NAME_DE,NAME_ES,NAME_FR,NAME_PT,NAME_RU,NAME_ZH,LABEL,NAME_AR,NAME_BN,NAME_EL,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_SV,NAME_TR,NAME_VI,NE_ID,NAME_FA,NAME_HE,NAME_UK,NAME_UR,NAME_ZHT,GEONAMESID,FCLASS_ISO,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,FCLASS_TLC
2592928.29204344,1246577.45312066,10,1,7,Admin-1 capital,Delémont,,,Delemont,0,,0,0,Switzerland,CHE,Switzerland,CHE,Jura,CH,,11315,11315,0,6,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Zurich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Q63896,101854235,0,Delémont,Delsberg,Delémont,Delémont,Delémont,Делемон,德莱蒙,,دوليمو,দেলেমঁ,Ντελεμόντ,डेलेमोंटे,Delémont,Delémont,Delémont,ドレモン,들레몽,Delémont,Delémont,Delémont,Delémont,Delémont,1159114441,دلمون,דלמונט,Делемон,دیلیمون,德莱蒙,2661035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560782.25304091,1205456.3568666,10,1,7,Admin-1 capital,Neuchâtel,,,Neuchatel,0,,0,0,Switzerland,CHE,Switzerland,CHE,Neuchâtel,CH,,31270,31270,0,7,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Zurich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Q69345,101853995,0,Neuchâtel,Neuenburg,Neuchâtel,Neuchâtel,Neuchâtel,Невшатель,纳沙泰尔,,نوشاتيل,নিউক্যাটেল,Νοσατέλ,न्युकेटेल,Neuchâtel,Neuchâtel,Neuchâtel,ヌーシャテル,뇌샤텔,Neuchâtel,Neuchâtel,Neuchâtel,Neuchâtel,Neuchâtel,1159114457,نوشاتل,נשאטל,Невшатель,نوشاتل,納沙泰爾,2659496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644952.81900557,1248967.69959814,10,1,7,Admin-1 capital,Aarau,,,Aarau,0,,0,0,Switzerland,CHE,Switzerland,CHE,Aargau,CH,,15501,15501,0,6,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Zurich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Q14274,101854331,0,Aarau,Aarau,Aarau,Aarau,Aarau,Арау,阿劳,,أراو,আরাউ,Άαραου,आरू,Aarau,Aarau,Aarau,アーラウ,아라우,Aarau,Aarau,Aarau,Aarau,Aarau,1159114477,ارو,אראו,Аарау,آراو,阿勞,2661881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671913.63873962,1200312.34266229,10,1,7,Admin-1 capital,Stans,,,Stans,0,,0,0,Switzerland,CHE,Switzerland,CHE,Nidwalden,CH,,7475,7475,0,5,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Zurich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Q63931,101853915,0,Stans,Stans,Stans,Stans,Stans,Штанс,施坦斯,,ستانس,স্,Στανς,स्टेंस,Stans,Stans,Stans,シュタンス,슈탄스,Stans,Stans,Stans,Stans,Stans,1159114501,ستان,סטנס,Штанс,شتانس,施坦斯,2658504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2593470.83150981,1120844.0635783,10,1,7,Admin-1 capital,Sion,,,Sion,0,,0,0,Switzerland,CHE,Switzerland,CHE,Valais,CH,,28045,28045,0,7,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Zurich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Q68136,101853219,0,Sion,Sitten,Sion,Sion,Sion,Сьон,锡永,,سيون,সাইয়ন,Σιόν,सीऑन,Sion,Sion,Sion,シオン,시옹,Sion,Sion,Sion,Sion,Sion,1159114521,سیون,סיון,Сьйон,سیون,錫永,2658576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739284.55471271,1249688.97483842,10,1,7,Admin-1 capital,Herisau,,,Herisau,0,,0,0,Switzerland,CHE,Switzerland,CHE,Appenzell Ausserrhoden,CH,,15438,15438,0,6,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Zurich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Q63970,101876001,0,Herisau,Herisau,Herisau,Herisau,Herisau,Херизау,黑里绍,,هيراسايو,হেরিসাউ,Χερισάου,हेरिसॉ,Herisau,Herisau,Herisau,ヘリザウ,헤리자우,Herisau,Herisau,Herisau,Herisau,Herisau,1159114539,اریزو,הריזאו,Герізау,ہیریساو,黑里紹,2660365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745117.22685502,1254244.22804609,10,1,7,Admin-1 capital,Saint Gallen,,,Saint Gallen,0,,0,0,Switzerland,CHE,Switzerland,CHE,Sankt Gallen,CH,,70572,70572,0,8,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Zurich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Q25607,101748457,0,St. Gallen,St. Gallen,San Galo,Saint-Gall,São Galo,Санкт-Галлен,圣加仑,,سانت غالن,সেন্ট গ্যালেন,Σανκτ Γκάλεν,सेंट गैलेन,St. Gallen,St. Gallen,San Gallo,ザンクト・ガレン,장크트갈렌,Sankt Gallen,St. Gallen,Sankt Gallen,St. Gallen,St. Gallen,1159114557,سنگلان,סנט גאלן,Санкт-Галлен,سانکت گالن,聖加倫,2658822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722064.51290645,1117400.85099658,10,1,7,Admin-1 capital,Bellinzona,,,Bellinzona,0,,0,0,Switzerland,CHE,Switzerland,CHE,Ticino,CH,,16572,16572,0,6,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Zurich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Q64044,101853199,0,Bellinzona,Bellinzona,Bellinzona,Bellinzone,Bellinzona,Беллинцона,贝林佐纳,,بيلينزونا,বেলিনজোনা,Μπελλιντσόνα,बेलिंज़ोआ,Bellinzona,Bellinzona,Bellinzona,ベッリンツォーナ,벨린초나,Bellinzona,Bellinzona,Bellinzona,Bellinzona,Bellinzona,1159114577,بلانزونا,בלינצונה,Беллінцона,بیلنزونا,貝林佐納,2661567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723701.10717321,1212279.88217049,10,1,7,Admin-1 capital,Glarus,,,Glarus,0,,0,0,Switzerland,CHE,Switzerland,CHE,Glarus,CH,,5681,5681,0,5,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Zurich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Q63912,101875969,0,Glarus,Glarus,Glaris,Glaris Centre,Glarona,Гларус,格拉魯斯,,غلروس,গ্লারুস,Γκλάρους,ग्लेरुस,Glarus,Glarus,Glarona,グラールス,글라루스,Glarus,Glarus,Glarus,Glarus,Glarus,1159114593,گلرو,גלרוס,Гларус,گلاروس,格拉魯斯,2660594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689641.23830733,1284614.76280651,10,1,7,Admin-1 capital,Schaffhausen,,,Schaffhausen,0,,0,0,Switzerland,CHE,Switzerland,CHE,Schaffhausen,CH,,33863,33863,0,7,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe/Zurich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Q9009,101876061,0,Schaffhausen,Schaffhausen,Schaffhausen,Schaffhouse,Schaffhausen,Шаффхаузен,沙夫豪森,,شافهاوزن,শ্যফাউসেন,Σαφχάουζεν,शैफ़हॉज़ेन,Schaffhausen,Schaffhausen,Sciaffusa,シャフハウゼン,샤프하우젠,Schaffhausen,Szafuza,Schaffhausen,Schaffhausen,Schaffhausen,1159114605,شفوزان,שפהאוזן,Шаффгаузен,شافہاوزن,沙夫豪森,2658761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
